# number of LED, resolution of motor encoder 
32, 380 
233 160 130 
233 156 124 
236 155 122 
235 152 121 
227 164 136 
249 246 242 
246 244 244 
247 243 248 
248 244 243 
213 151 135 
240 132 91 
234 128 87 
233 122 82 
229 121 80 
231 118 78 
230 118 76 
230 116 75 
230 116 75 
230 116 75 
228 111 72 
229 118 78 
236 137 109 
236 149 123 
241 160 139 
244 177 156 
237 166 146 
241 168 146 
232 163 144 
245 212 193 
243 200 183 
235 185 167 
227 163 145 
233 160 130 
233 156 124 
236 155 122 
235 152 121 
227 164 136 
249 246 242 
246 244 244 
247 243 248 
247 243 242 
215 155 139 
240 132 91 
234 128 87 
234 123 83 
229 121 80 
230 117 77 
230 118 76 
230 116 76 
230 116 76 
230 116 75 
230 113 74 
229 120 82 
230 138 109 
237 153 128 
243 167 145 
243 176 155 
236 160 141 
229 158 138 
245 183 165 
242 212 193 
243 191 175 
237 173 155 
239 163 144 
233 160 130 
233 156 124 
236 155 122 
235 152 121 
229 164 136 
250 247 243 
246 244 243 
246 242 247 
248 243 242 
204 156 138 
236 131 90 
233 128 87 
231 123 82 
229 121 80 
231 118 78 
230 118 76 
230 116 76 
229 115 75 
228 116 74 
230 113 74 
229 122 88 
230 143 117 
239 161 138 
244 174 151 
242 177 156 
238 161 142 
227 158 139 
240 182 163 
242 208 192 
246 186 170 
229 161 142 
238 163 141 
233 160 130 
233 156 124 
236 155 122 
235 152 121 
226 159 132 
250 247 243 
247 245 244 
246 242 247 
247 242 241 
212 172 153 
231 131 89 
232 127 86 
232 124 83 
229 121 80 
231 118 78 
230 118 76 
230 116 76 
229 115 75 
229 117 75 
230 113 74 
229 125 90 
234 150 124 
238 162 139 
246 177 157 
247 181 162 
242 171 151 
236 167 150 
235 184 168 
240 204 188 
238 179 160 
232 165 144 
230 158 134 
233 160 130 
233 156 124 
236 155 122 
235 152 121 
221 154 127 
250 247 242 
248 244 243 
248 242 247 
246 242 241 
233 209 187 
227 132 89 
233 128 87 
232 124 83 
229 121 80 
231 118 78 
230 117 77 
230 116 76 
229 115 75 
227 117 75 
227 113 73 
242 136 105 
237 160 141 
236 161 139 
242 177 156 
239 174 153 
235 170 149 
239 175 157 
236 187 171 
240 204 186 
237 179 160 
234 167 146 
230 156 132 
233 160 130 
233 156 124 
236 155 122 
235 152 121 
221 154 127 
249 245 240 
248 244 243 
248 243 245 
248 243 240 
247 226 204 
227 132 89 
233 128 87 
232 124 83 
229 121 80 
231 118 78 
232 118 77 
230 117 77 
228 115 75 
229 116 76 
228 114 74 
241 139 110 
240 169 149 
236 166 143 
246 186 170 
242 173 153 
237 166 146 
235 172 152 
242 196 179 
243 205 187 
243 186 165 
238 167 147 
233 157 134 
233 160 130 
233 156 124 
236 155 122 
235 152 121 
223 154 127 
248 245 237 
248 244 243 
248 243 245 
250 243 240 
249 226 204 
232 132 90 
234 129 88 
233 125 84 
235 123 81 
234 118 83 
233 120 77 
229 116 76 
229 116 76 
228 115 75 
229 115 75 
237 141 111 
244 176 157 
236 168 145 
246 189 174 
249 178 158 
233 158 136 
237 171 152 
238 194 177 
242 202 183 
244 188 169 
229 161 138 
237 151 127 
233 160 130 
233 156 124 
236 155 122 
236 153 122 
226 155 128 
249 243 236 
248 244 243 
248 243 244 
248 243 240 
237 213 191 
235 133 91 
234 129 88 
232 124 83 
235 122 82 
237 123 87 
233 121 78 
231 118 78 
228 117 77 
227 116 76 
230 116 76 
232 145 118 
241 178 158 
231 162 142 
247 194 174 
247 178 158 
228 158 135 
239 178 158 
242 196 179 
244 204 186 
242 189 169 
233 165 142 
233 147 123 
233 160 130 
233 156 124 
236 155 122 
236 153 122 
230 153 126 
250 243 234 
248 243 244 
248 243 244 
248 243 240 
253 224 210 
237 132 91 
234 129 88 
234 123 83 
233 122 82 
240 128 92 
233 121 79 
229 118 78 
226 118 77 
227 116 76 
230 116 76 
233 158 132 
240 178 160 
237 170 149 
245 194 174 
245 174 154 
235 165 142 
244 186 167 
242 199 182 
238 202 184 
234 184 164 
233 165 142 
228 138 113 
233 160 130 
233 156 124 
236 155 122 
235 152 121 
231 154 127 
250 241 232 
248 243 244 
248 244 243 
250 244 239 
235 196 181 
237 132 91 
233 128 87 
235 124 84 
233 122 82 
238 131 94 
234 123 85 
227 119 78 
227 119 78 
228 117 77 
229 115 78 
236 162 138 
237 176 156 
226 155 135 
241 194 173 
248 175 155 
235 166 146 
241 191 171 
240 206 190 
245 205 187 
235 183 166 
228 158 134 
230 139 112 
233 160 130 
233 156 124 
236 155 122 
236 153 121 
231 154 127 
249 240 231 
248 243 244 
250 245 244 
249 243 238 
220 177 160 
232 131 92 
234 128 87 
234 123 83 
235 124 84 
235 128 91 
233 123 89 
230 119 79 
229 118 80 
230 117 77 
229 116 76 
238 164 140 
231 173 154 
223 153 130 
242 185 163 
234 159 137 
229 160 141 
244 204 186 
236 203 187 
243 199 182 
239 182 161 
229 146 124 
227 134 108 
233 160 130 
233 156 124 
236 155 122 
236 153 121 
233 154 127 
247 235 225 
248 243 244 
250 245 244 
249 242 239 
226 176 153 
231 130 92 
234 128 87 
235 124 84 
235 124 84 
240 136 101 
232 132 98 
233 119 79 
229 118 80 
231 118 78 
228 117 79 
241 167 141 
230 173 152 
226 158 135 
233 158 136 
236 156 133 
230 167 146 
241 204 184 
239 199 181 
246 194 178 
247 178 158 
235 144 123 
228 136 111 
233 160 130 
233 156 124 
236 155 122 
237 154 122 
233 154 127 
248 234 222 
251 243 244 
250 244 245 
249 242 239 
253 208 187 
232 131 93 
234 128 87 
236 125 85 
233 122 82 
229 123 86 
244 168 132 
230 122 81 
229 118 80 
229 118 78 
225 115 79 
245 172 150 
234 174 150 
228 166 142 
224 141 120 
235 155 130 
238 180 161 
239 201 183 
238 195 178 
235 183 167 
232 159 139 
230 146 121 
229 143 119 
233 160 130 
